personal_number,date,start_time,end_time,place,move_method,departure,destination,with_companion,companion_note,remarks
T223048,2024/3/24,15:00:00,16:00:00,ボーリング場,電車,自宅最寄駅,ボーリング場最寄駅,1,友人K,ボーリング
T123049,2024/3/25,9:00:00,10:00:00,自宅,徒歩,自宅,コンビニ,0,,雑誌購入
T223050,2024/3/25,13:00:00,14:00:00,病院,徒歩,自宅,病院,0,,風邪で受診
T123051,2024/3/26,9:00:00,17:00:00,職場,電車,自宅最寄駅,職場最寄駅,0,,通常勤務
T223052,2024/3/26,18:00:00,19:00:00,スーパー,徒歩,職場,スーパー,0,,夕食の買い物
T123053,2024/3/27,10:00:00,11:00:00,図書館,車,自宅,図書館,0,,本の返却
T223054,2024/3/27,14:00:00,15:00:00,友人宅,徒歩,自宅,友人宅,1,友人L,おしゃべり
U000055,2024/3/28,16:00:00,17:00:00,スポーツ用品店,自転車,自宅,スポーツ用品店,0,,ランニングシューズ購入
T223056,2024/3/28,9:30:00,10:30:00,郵便局,徒歩,自宅,郵便局,0,,切手購入
T123057,2024/3/29,18:00:00,19:00:00,コンサート会場,電車,自宅最寄駅,会場最寄駅,1,配偶者M,コンサート鑑賞
T223058,2024/3/29,8:00:00,9:00:00,バス停,徒歩,自宅,バス停,0,,通学
T123059,2024/3/30,13:00:00,14:00:00,公園,徒歩,自宅,公園,0,,日光浴
T223060,2024/3/30,17:00:00,18:00:00,自宅,徒歩,コンビニ,自宅,0,,お菓子購入
T123061,2024/3/31,9:00:00,10:00:00,ホームセンター,徒歩,自宅,ホームセンター,0,,園芸用品購入
T223062,2024/3/31,11:00:00,12:30:00,水族館,電車,自宅最寄駅,水族館最寄駅,1,家族N,観光
T123063,2024/4/1,14:00:00,15:00:00,歯医者,車,自宅,歯医者,0,,定期健診
T223064,2024/4/1,10:00:00,11:00:00,銀行,徒歩,自宅,銀行,0,,ATM利用
T123065,2024/4/2,16:00:00,17:00:00,学習塾,徒歩,自宅,学習塾,1,子供O,送り迎え
T223066,2024/4/2,9:30:00,10:30:00,郵便局,自転車,職場,郵便局,0,,書類発送
T123067,2024/4/3,18:00:00,19:00:00,スポーツバー,電車,職場,スポーツバー,1,同僚P,スポーツ観戦
T223068,2024/4/3,8:00:00,9:00:00,バス停,徒歩,自宅,バス停,0,,通勤
U000069,2024/4/4,13:00:00,14:00:00,映画館,電車,自宅最寄駅,映画館最寄駅,0,,映画鑑賞
T223070,2024/4/4,17:00:00,18:00:00,自宅,徒歩,スーパー,自宅,0,,夕食の準備
T123071,2024/4/5,9:00:00,17:00:00,職場,電車,自宅最寄駅,職場最寄駅,0,,通常勤務
T223072,2024/4/5,19:00:00,20:00:00,レストラン,徒歩,職場,レストラン,1,取引先Q,接待
T123073,2024/4/6,10:00:00,11:00:00,公園,車,自宅,公園,0,,ジョギング
T223074,2024/4/6,15:00:00,16:00:00,ショッピングモール,徒歩,自宅,ショッピングモール,0,,ウィンドウショッピング
T123075,2024/4/7,8:30:00,9:30:00,テニスコート,車,自宅,テニスコート,1,友人R,テニス
T223076,2024/4/7,12:00:00,13:00:00,カフェ,徒歩,テニスコート,カフェ,0,,休憩
T123077,2024/4/8,11:00:00,12:00:00,動物病院,車,自宅,動物病院,0,,ペットの診察
T223078,2024/4/8,15:00:00,16:00:00,博物館,電車,自宅最寄駅,博物館最寄駅,0,,特別展鑑賞
T123079,2024/4/9,9:00:00,10:00:00,クリーニング店,徒歩,自宅,クリーニング店,0,,スーツ引き取り
T223080,2024/4/9,13:00:00,14:00:00,郵便局,徒歩,職場,郵便局,0,,小包発送
T123081,2024/4/10,9:00:00,17:00:00,職場,電車,自宅最寄駅,職場最寄駅,0,,通常勤務
T223082,2024/4/10,19:00:00,20:00:00,スポーツジム,徒歩,職場,スポーツジム,0,,運動
T123083,2024/4/11,10:00:00,11:00:00,図書館,車,自宅,図書館,0,,新しい本の貸し出し
T223084,2024/4/11,14:00:00,15:00:00,友人宅,徒歩,自宅,友人宅,1,友人S,ランチ
U000085,2024/4/12,16:00:00,17:00:00,スーパー,自転車,自宅,スーパー,0,,日用品購入
T223086,2024/4/12,9:30:00,10:30:00,薬局,徒歩,自宅,薬局,0,,処方箋受け取り
T123087,2024/4/13,18:00:00,19:00:00,居酒屋,電車,自宅最寄駅,居酒屋最寄駅,1,学生時代の友人T,同窓会
T223088,2024/4/13,8:00:00,9:00:00,駅,徒歩,自宅,駅,0,,遠出
T123089,2024/4/14,13:00:00,14:00:00,公園,徒歩,自宅,公園,0,,読書
T223090,2024/4/14,17:00:00,18:00:00,自宅,徒歩,コンビニ,自宅,0,,夕食準備
T123091,2024/4/15,9:00:00,17:00:00,職場,電車,自宅最寄駅,職場最寄駅,0,,通常勤務
T223092,2024/4/15,18:00:00,19:00:00,書店,徒歩,職場,書店,0,,ビジネス書購入
T123093,2024/4/16,10:00:00,11:00:00,役所,車,自宅,役所,0,,手続き
T223094,2024/4/16,14:00:00,15:00:00,喫茶店,徒歩,自宅,喫茶店,1,友人U,情報交換
U000095,2024/4/17,16:00:00,17:00:00,クリーニング店,自転車,自宅,クリーニング店,0,,洗濯物預け
T223096,2024/4/17,9:30:00,10:30:00,郵便局,徒歩,職場,郵便局,0,,速達発送
T123097,2024/4/18,18:00:00,19:00:00,バー,電車,職場,バー,1,同僚V,仕事の話
T223098,2024/4/18,8:00:00,9:00:00,駅,車,自宅,駅,0,,出張
T123099,2024/4/19,13:00:00,14:00:00,公園,徒歩,自宅,公園,0,,散歩
T223100,2024/4/19,17:00:00,18:00:00,自宅,徒歩,スーパー,自宅,0,,夕食の準備
